Row_ID,Order_ID,Date_Key,Contact_Name,Country,City,Region,Subregion,Customer,Customer_ID,Order_Date
4013.0,EMEA-2021-153612,20211222.0,Ruth Kerr,Italy,Bari,EMEA,EU,Citigroup,1020,2021-12-22
7258.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7259.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7261.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7255.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7254.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7256.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7260.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
7257.0,EMEA-2022-152730,20220531.0,Alan Berry,Italy,Bari,EMEA,EU,Home Depot,1047,2022-05-31
1628.0,EMEA-2021-143119,20210924.0,Theresa Henderson,Czech Republic,Brno,EMEA,EU-EAST,Safeway,1079,2021-09-24
9981.0,EMEA-2021-151435,20210906.0,Gordon Burgess,Czech Republic,Brno,EMEA,EU-EAST,Pemex,1058,2021-09-06
8741.0,EMEA-2022-102498,20220725.0,Alison Howard,Czech Republic,Brno,EMEA,EU-EAST,Kroger,1057,2022-07-25
804.0,EMEA-2022-115504,20220313.0,Jonathan Marshall,Czech Republic,Brno,EMEA,EU-EAST,Royal Dutch Shell,1031,2022-03-13
9221.0,EMEA-2023-103212,20231014.0,Olivia Hamilton,Czech Republic,Brno,EMEA,EU-EAST,State Farm Insurance Cos.,1082,2023-10-14
9223.0,EMEA-2023-103212,20231014.0,Olivia Hamilton,Czech Republic,Brno,EMEA,EU-EAST,State Farm Insurance Cos.,1082,2023-10-14
9222.0,EMEA-2023-103212,20231014.0,Olivia Hamilton,Czech Republic,Brno,EMEA,EU-EAST,State Farm Insurance Cos.,1082,2023-10-14
1933.0,EMEA-2023-161200,20230807.0,Irene Walsh,Czech Republic,Brno,EMEA,EU-EAST,Wells Fargo,1099,2023-08-07
1934.0,EMEA-2023-161200,20230807.0,Irene Walsh,Czech Republic,Brno,EMEA,EU-EAST,Wells Fargo,1099,2023-08-07
3745.0,AMER-2020-113047,20201024.0,Stephen Dyer,Colombia,Cali,AMER,LATAM,AT&T,1010,2020-10-24
6008.0,AMER-2023-129028,20230402.0,Robert McGrath,Colombia,Cali,AMER,LATAM,Walgreens,1095,2023-04-02
7016.0,EMEA-2020-114790,20200311.0,Carol Berry,Ireland,Cork,EMEA,UKIR,American Express,1005,2020-03-11
7015.0,EMEA-2020-114790,20200311.0,Carol Berry,Ireland,Cork,EMEA,UKIR,American Express,1005,2020-03-11
7017.0,EMEA-2020-114790,20200311.0,Carol Berry,Ireland,Cork,EMEA,UKIR,American Express,1005,2020-03-11
