Customer,Customer_ID,Contact_Name,Country,City,Industry,Segment
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Tokyo,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Grace Bell,France,Paris,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Tokyo,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Tokyo,Energy,SMB
ConocoPhillips,1024,Grace Bell,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Grace Bell,Brazil,Bras?lia,Energy,SMB
ConocoPhillips,1024,Justin Carr,United States,Henderson,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Canada,Toronto,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Chile,Puente Alto,Energy,Strategic
ConocoPhillips,1024,Justin Carr,France,Paris,Energy,Strategic
ConocoPhillips,1024,Justin Carr,United Kingdom,London,Energy,Strategic
ConocoPhillips,1024,Justin Carr,France,Paris,Energy,Strategic
ConocoPhillips,1024,Justin Carr,United Kingdom,London,Energy,Strategic
ConocoPhillips,1024,Justin Carr,United Kingdom,London,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Germany,Hamburg,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Canada,Toronto,Energy,Strategic
ConocoPhillips,1024,Justin Carr,United Kingdom,London,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Canada,Toronto,Energy,Strategic
ConocoPhillips,1024,Justin Carr,Canada,Toronto,Energy,Strategic
ConocoPhillips,1024,Justin Carr,United Kingdom,London,Energy,Strategic
ConocoPhillips,1024,Keith Mills,Mexico,Guadalajara,Energy,SMB
ConocoPhillips,1024,Keith Mills,Chile,Santiago,Energy,SMB
ConocoPhillips,1024,Keith Mills,Israel,Tel Aviv,Energy,SMB
ConocoPhillips,1024,Keith Mills,Chile,Santiago,Energy,SMB
ConocoPhillips,1024,Keith Mills,Chile,Santiago,Energy,SMB
ConocoPhillips,1024,Keith Mills,United States,New York City,Energy,SMB
ConocoPhillips,1024,Keith Mills,Israel,Tel Aviv,Energy,SMB
ConocoPhillips,1024,Keith Mills,Spain,Seville,Energy,SMB
ConocoPhillips,1024,Keith Mills,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Keith Mills,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Keith Mills,United Kingdom,Glasgow,Energy,SMB
ConocoPhillips,1024,Keith Mills,Chile,Santiago,Energy,SMB
ConocoPhillips,1024,Keith Mills,Japan,Ibaraki,Energy,SMB
ConocoPhillips,1024,Alison Mills,Japan,Saitama,Energy,SMB
ConocoPhillips,1024,Alison Mills,Japan,Saitama,Energy,SMB
ConocoPhillips,1024,Alison Mills,Philippines,Davao City,Energy,SMB
ConocoPhillips,1024,Alison Mills,Philippines,Davao City,Energy,SMB
ConocoPhillips,1024,Alison Mills,United States,New York City,Energy,SMB
ConocoPhillips,1024,Alison Mills,Japan,Saitama,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Australia,Canberra,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Australia,Canberra,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Spain,Barcelona,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Spain,Barcelona,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Portugal,Lisboa,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Spain,Barcelona,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Australia,Canberra,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Spain,Barcelona,Energy,SMB
ConocoPhillips,1024,Gordon Baker,Australia,Canberra,Energy,SMB
